Timestamp,Name,Mobile Number,Cluster Name,Address,Designation,Overall Remarks,How many members that need to be vaccinated?,Name,Age,Relation,Vaccination Date,Vaccination Type,Remarks,Name,Age,Relation,Vaccination Date,Vaccination Type,Remarks,Name,Age,Relation,Vaccination Date,Vaccination Type,Remarks,Name,Age,Relation,Vaccination Date,Vaccination Type,Remarks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021 12:16:54,test,123,,,,,2,,,,,,,,,,,,,Name,,,,,,Name2,,,,,
5/12/2021 12:24:53,Vamshi,1234,Cluster,,,,2,,,,,,,,,,,,,Test2,,,,,,Vamshi,,,,,
5/12/2021 21:23:29,Satya,9845278175,Ct kere,Basavangudi,Director,,1,,,,,,,,,,,,,,,,,,,Test1,50,,5/20/2021,Covishield,
5/13/2021 20:00:25,Test1,9845278175,,,,,2,,,,,,,,,,,,,Test2,,,,,,Test3,,,,Covaxin,
5/20/2021 16:29:04,Test,Test,,,,,1,,,,,,,,,,,,,,,,,,,Test,,,,,
6/5/2021 14:39:56,Arun K,444444444,,,,,1,,,,,,,,,,,,,,,,,,,Katha,19,,,Covishield,
6/5/2021 14:45:30,Suraj,6666666666,,,,,1,,,,,,,,,,,,,,,,,,,ssss,21,,,Covishield,
7/10/2021 5:09:25,Rakesh_test,7777777777,,,,,1,,,,,,,,,,,,,,,,,,,test_1,,,,,
